Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
8,04/04/16 08:30:11 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$12.55
9,04/04/16 08:55:15 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$9.50
10,04/04/16 05:55:37 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$9.50
11,04/04/16 06:20:55 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$6.45
12,04/05/16 08:37:47 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$6.45
13,04/05/16 09:00:17 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$3.40
14,04/05/16 03:50:44 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$3.40
15,04/05/16 04:15:22 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$0.55
0,04/06/16 09:21:04 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$25.55
1,04/06/16 09:21:30 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$25.55
2,04/06/16 09:41:02 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$22.50
3,04/06/16 06:01:52 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$22.50
4,04/06/16 06:26:11 PM,Exit,Metrorail,L'Enfant Plza N,Clarendon,StoredValue FF,,($2.70),$19.80
5,04/07/16 08:30:29 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$19.80
6,04/07/16 09:00:21 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$16.75
7,04/07/16 05:32:31 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$16.75
