Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
2,02/01/16 07:32:33 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$12.95
3,02/01/16 07:55:14 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$9.90
4,02/02/16 07:17:08 PM,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$9.90
5,02/02/16 07:50:57 PM,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,($2.75),$7.15
5,02/03/16 06:47:19 PM,Sale,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$7.15
6,02/04/16 08:36:01 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$7.15
7,02/04/16 09:07:55 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$4.10
8,02/04/16 07:10:31 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$4.10
9,02/04/16 07:27:05 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($2.35),$1.75
10,02/04/16 07:27:49 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$26.75
11,02/05/16 07:54:43 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$26.75
12,02/05/16 08:16:29 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$23.70
13,02/05/16 05:10:19 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$23.70
14,02/05/16 05:33:33 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$20.65
0,02/08/16 08:57:40 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$17.60
14,02/08/16 08:28:58 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$20.65
15,02/08/16 08:29:25 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$20.65
1,02/08/16 05:05:55 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$17.60
2,02/08/16 05:31:16 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$14.55
3,02/09/16 07:23:46 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$14.55
4,02/09/16 07:44:18 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$11.50
5,02/09/16 03:51:12 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$11.50
6,02/09/16 04:25:47 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$8.65
7,02/10/16 08:29:53 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$8.65
8,02/10/16 08:53:14 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$5.60
9,02/10/16 05:56:04 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$5.60
9,02/10/16 06:25:31 PM,Sale,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$5.60
10,02/11/16 07:44:34 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.60
