Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
8,01/04/16 08:38:52 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$10.00,$14.35
9,01/04/16 08:39:52 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$29.35
10,01/04/16 08:40:14 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$29.35
11,01/04/16 09:01:12 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$26.30
12,01/04/16 04:44:00 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$26.30
13,01/04/16 04:56:11 PM,Exit,Metrorail,L'Enfant Plza N,Farragut N NW,StoredValue FF,,($2.15),$24.15
14,01/04/16 05:25:05 PM,Entry,Metrorail,Farragut N NW,,StoredValue FF,,$0.00,$24.15
15,01/04/16 05:37:19 PM,Exit,Metrorail,Farragut N NW,Tenleytown-AU,StoredValue FF,,($2.45),$21.70
0,01/05/16 08:50:09 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$21.70
1,01/05/16 09:12:48 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$18.65
2,01/05/16 05:49:35 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$18.65
3,01/05/16 06:14:37 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$15.60
4,01/06/16 08:52:11 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$15.60
5,01/06/16 09:27:50 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$12.55
6,01/06/16 05:23:32 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$12.55
7,01/06/16 05:44:46 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$9.50
8,01/07/16 08:48:00 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$9.50
9,01/07/16 09:18:02 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$6.45
