Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
7,03/01/16 07:53:25 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$18.30
8,03/01/16 08:15:41 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$15.25
9,03/01/16 03:49:53 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$15.25
10,03/01/16 04:12:52 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$12.40
11,03/02/16 07:53:35 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$12.40
12,03/02/16 08:19:15 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$9.35
13,03/02/16 04:03:12 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$9.35
14,03/02/16 04:24:13 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$6.30
0,03/03/16 08:56:36 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$3.25
15,03/03/16 08:32:48 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$6.30
1,03/03/16 04:50:34 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$3.25
2,03/03/16 05:17:30 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$0.20
3,03/03/16 05:18:07 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$25.20
3,03/07/16 07:54:31 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$25.20
4,03/07/16 07:54:56 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$25.20
5,03/07/16 08:15:03 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$22.15
6,03/07/16 06:25:12 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$22.15
7,03/07/16 06:52:01 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$19.10
8,03/08/16 07:37:22 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$19.10
9,03/08/16 08:01:43 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$16.05
10,03/08/16 07:01:48 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$16.05
11,03/08/16 07:24:46 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($2.35),$13.70
12,03/09/16 08:32:08 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$13.70
13,03/09/16 08:56:19 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$10.65
0,03/09/16 08:14:53 PM,Entry,Metrorail,U St-Cardozo W,,StoredValue FF,,$0.00,$8.50
14,03/09/16 06:29:09 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$10.65
15,03/09/16 06:41:09 PM,Exit,Metrorail,L'Enfant Plza N,U St-Cardozo W,StoredValue FF,,($2.15),$8.50
1,03/09/16 08:44:04 PM,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,($2.25),$6.25
2,03/10/16 08:01:13 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$6.25
3,03/10/16 08:25:13 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$3.20
4,03/10/16 06:18:04 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$3.20
5,03/10/16 06:39:26 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$0.15
5,03/10/16 06:40:19 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$25.15
6,03/10/16 06:40:51 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$25.15
7,03/11/16 07:42:07 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$25.15
8,03/11/16 08:07:03 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$22.10
9,03/11/16 01:32:04 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$22.10
10,03/11/16 02:04:32 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($2.35),$19.75
11,03/14/16 08:17:00 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$19.75
12,03/14/16 08:41:02 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$16.70
13,03/14/16 06:14:57 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$16.70
14,03/14/16 06:39:29 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$13.65
0,03/15/16 07:58:03 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$10.60
15,03/15/16 07:31:56 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$13.65
1,03/15/16 03:53:18 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$10.60
2,03/15/16 04:16:22 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$7.75
3,03/17/16 08:47:56 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$7.75
