Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance,,
7,8/1/16 8:42,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$10.70 ,,0
8,8/1/16 9:06,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.65 ,,3.05
9,8/1/16 17:03,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$7.65 ,,0
10,8/1/16 17:27,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$4.60 ,,3.05
11,8/2/16 8:37,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$30.00 ,$34.60 ,,0
12,8/2/16 8:38,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$34.60 ,,0
13,8/2/16 9:02,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$31.55 ,,3.05
14,8/2/16 16:56,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$31.55 ,,0
15,8/2/16 17:17,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$28.50 ,,3.05
0,8/3/16 8:29,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$28.50 ,,0
1,8/3/16 9:00,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$25.45 ,,3.05
2,8/3/16 17:35,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$25.45 ,,0
3,8/3/16 18:05,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$22.40 ,,3.05
4,8/4/16 8:38,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$22.40 ,,0
5,8/4/16 9:05,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$19.35 ,,3.05
6,8/4/16 17:15,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$19.35 ,,0
7,8/4/16 17:38,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.30 ,,3.05
8,8/9/16 8:44,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$16.30 ,,0
9,8/9/16 9:13,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.25 ,,3.05
10,8/9/16 16:59,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$13.25 ,,0
11,8/9/16 17:27,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$10.20 ,,3.05
12,8/10/16 8:37,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$10.20 ,,0
13,8/10/16 8:58,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.15 ,,3.05
14,8/10/16 16:32,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$7.15 ,,0
15,8/10/16 17:02,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$4.10 ,,3.05
0,8/11/16 9:01,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$4.10 ,,0
1,8/11/16 9:28,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.05 ,,3.05
1,8/11/16 17:23,"SaleCancelled Trans",Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$1.05 ,,0
1,8/11/16 17:23,"SaleCancelled Trans",Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$1.05 ,,0
1,8/11/16 17:26,"SaleCancelled Trans",Metrorail,L'Enfant Plza N,,StoredValue FF,,$30.00 ,$31.05 ,,0
2,8/11/16 17:26,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,$30.00 ,$31.05 ,,0
3,8/11/16 17:27,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$31.05 ,,0
4,8/11/16 17:50,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$28.00 ,,3.05
5,8/12/16 9:08,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$28.00 ,,0
6,8/12/16 9:39,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$24.95 ,,3.05
7,8/12/16 16:31,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$24.95 ,,0
8,8/12/16 16:55,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$21.90 ,,3.05
9,8/16/16 8:52,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$21.90 ,,0
10,8/16/16 9:19,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$18.85 ,,3.05
11,8/16/16 17:02,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$18.85 ,,0
12,8/16/16 17:29,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$15.80 ,,3.05
13,8/17/16 8:33,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$15.80 ,,0
14,8/17/16 8:54,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$12.75 ,,3.05
15,8/17/16 16:45,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$12.75 ,,0
0,8/17/16 17:22,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$9.70 ,,3.05
