Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance,,,,
0,11/1/16 9:03,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$29.50 ,-3.05,,,
15,11/1/16 8:27,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$32.55 ,0,,,
1,11/1/16 17:50,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$29.50 ,0,,,
2,11/1/16 18:19,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$26.45 ,-3.05,,,
3,11/7/16 8:10,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$26.45 ,0,,,
4,11/7/16 8:43,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$23.40 ,-3.05,,,
5,11/7/16 17:51,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$23.40 ,0,,,
6,11/7/16 18:05,Exit,Metrorail,L'Enfant Plza N,Crystal City,StoredValue FF,,($2.15),$21.25 ,-2.15,,,
6,11/17/16 8:45,"SaleCancelled Trans",Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$21.25 ,0,,,
7,11/17/16 8:45,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$21.25 ,0,,,
8,11/17/16 9:16,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$18.20 ,-3.05,,,
9,11/17/16 18:26,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$18.20 ,0,,,
10,11/17/16 18:59,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$15.35 ,-2.85,,,
11,11/18/16 8:47,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$15.35 ,0,,,
12,11/18/16 9:13,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$12.30 ,-3.05,,,
13,11/18/16 18:10,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$12.30 ,0,,,
14,11/18/16 18:44,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$9.25 ,-3.05,,,
0,11/21/16 9:13,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$6.20 ,-3.05,,,
15,11/21/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$9.25 ,0,,,
1,11/21/16 18:24,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$6.20 ,0,,,
2,11/21/16 18:51,Exit,Metrorail,L'Enfant Plza N,Crystal City,StoredValue FF,,($2.15),$4.05 ,-2.15,,,
3,11/22/16 8:40,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$30.00 ,$34.05 ,0,,,
4,11/22/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$34.05 ,0,,,
5,11/22/16 9:10,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$31.00 ,-3.05,,,
5,11/28/16 8:48,"SaleCancelled Trans",Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$31.00 ,0,,,
6,11/28/16 8:49,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$31.00 ,0,,,
7,11/28/16 9:13,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$27.95 ,-3.05,,,
8,11/28/16 18:33,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$27.95 ,0,,,
9,11/28/16 18:51,Exit,Metrorail,L'Enfant Plza N,Crystal City,StoredValue FF,,($2.15),$25.80 ,-2.15,,,
10,11/29/16 8:36,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$25.80 ,0,,,
11,11/29/16 9:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$22.75 ,-3.05,,,
12,11/29/16 18:51,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$22.75 ,0,,,
13,11/29/16 19:19,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$19.70 ,-3.05,,Parking,
14,11/30/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$19.70 ,0,,3-Nov,25
15,11/30/16 9:07,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$16.65 ,-3.05,,,
0,11/30/16 18:24,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$16.65 ,0,,,
1,11/30/16 18:53,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$13.80 ,-2.85,,,
,,,,,,,,,,-48.75,,-73.75,
