Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
4,04/12/17 07:33:00 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$23.05
5,04/12/17 07:54:47 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$20.00
6,04/12/17 04:18:36 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$20.00
7,04/12/17 04:43:48 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.95
8,04/13/17 08:23:53 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.95
9,04/13/17 08:45:57 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.90
10,04/13/17 05:09:34 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.90
11,04/13/17 05:33:51 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$10.85
12,04/17/17 08:08:16 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$10.85
13,04/17/17 08:32:08 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.80
14,04/17/17 04:21:38 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$7.80
15,04/17/17 04:47:48 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$4.75
0,04/18/17 08:11:56 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$4.75
1,04/18/17 08:38:00 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.70
3,04/18/17 04:30:35 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$31.70
4,04/18/17 04:51:53 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$28.65
5,04/19/17 08:02:37 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$28.65
6,04/19/17 08:30:03 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$25.60
7,04/19/17 04:51:26 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$25.60
8,04/19/17 05:13:51 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$22.55
9,04/20/17 07:56:42 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$22.55
10,04/20/17 08:21:52 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza W,StoredValue FF,,($3.05),$19.50
11,04/20/17 05:06:44 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$19.50
12,04/20/17 05:29:10 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.45
