Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
0,06/01/17 08:37:40 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$19.75
15,06/01/17 08:09:57 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$22.80
1,06/01/17 03:57:05 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$19.75
2,06/01/17 04:22:08 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.70
3,06/05/17 08:45:15 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.70
4,06/05/17 09:07:14 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.65
5,06/05/17 05:08:55 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.65
6,06/05/17 05:31:13 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$10.60
7,06/07/17 08:23:11 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$10.60
8,06/07/17 08:51:50 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.55
9,06/07/17 05:10:14 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$7.55
10,06/07/17 05:33:16 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$4.50
11,06/08/17 08:03:08 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$4.50
12,06/08/17 08:26:43 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.45
14,06/08/17 05:37:31 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$31.45
15,06/08/17 05:37:35 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$31.45
0,06/08/17 05:59:19 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$28.40
1,06/12/17 08:26:12 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$28.40
2,06/12/17 08:51:03 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$25.35
3,06/12/17 04:45:29 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$25.35
4,06/12/17 05:07:20 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$22.30
5,06/14/17 08:37:46 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$22.30
6,06/14/17 09:04:27 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$19.25
7,06/14/17 06:50:35 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$19.25
8,06/14/17 07:14:08 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.20
9,06/19/17 08:51:07 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.20
10,06/19/17 09:20:51 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.15
11,06/19/17 06:16:04 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.15
12,06/19/17 06:44:15 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$10.10
13,06/20/17 08:27:01 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$10.10
14,06/20/17 08:56:48 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.05
0,06/20/17 06:18:55 PM,Exit,Metrorail,,McPherson Sq W,StoredValue FF,,($2.15),$4.90
15,06/20/17 06:06:12 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$7.05
1,06/22/17 08:25:24 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$4.90
2,06/22/17 09:03:30 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.85
