Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
10,03/01/17 08:39:07 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$22.75
11,03/01/17 09:05:33 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$19.70
12,03/01/17 05:13:06 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$19.70
13,03/01/17 05:41:15 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$16.65
14,03/02/17 08:54:57 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.65
15,03/02/17 09:20:48 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.60
0,03/02/17 08:29:58 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.60
1,03/02/17 08:41:48 PM,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,($1.75),$11.85
2,03/06/17 08:51:07 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$11.85
3,03/06/17 09:15:32 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$8.80
4,03/06/17 05:13:40 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$8.80
5,03/06/17 05:41:05 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$5.75
6,03/07/17 08:27:33 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.75
7,03/07/17 08:54:36 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$2.70
8,03/07/17 04:59:32 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$2.70
9,03/07/17 05:26:04 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),($0.35)
10,03/07/17 05:26:47 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$30.00,$29.65
11,03/08/17 08:16:23 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$29.65
12,03/08/17 08:41:18 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$26.60
13,03/08/17 04:29:41 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$26.60
14,03/08/17 04:53:50 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$23.55
15,03/09/17 08:29:01 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$23.55
0,03/09/17 08:55:14 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$20.50
1,03/09/17 04:49:08 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$20.50
2,03/09/17 05:13:56 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$17.45
3,03/13/17 08:50:18 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$17.45
4,03/13/17 09:23:10 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$14.40
5,03/13/17 05:15:58 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$14.40
6,03/13/17 05:40:51 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$11.35
7,03/15/17 08:50:41 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$11.35
8,03/15/17 09:19:23 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$8.30
9,03/15/17 04:58:58 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$8.30
10,03/15/17 05:25:53 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$5.25
11,03/16/17 08:54:29 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.25
12,03/16/17 09:27:16 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$2.20
13,03/16/17 04:56:07 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$2.20
14,03/16/17 05:17:22 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),($0.85)
15,03/16/17 05:18:06 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$30.00,$29.15
0,03/20/17 08:33:40 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$29.15
1,03/20/17 09:01:44 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$26.10
2,03/20/17 05:08:00 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$26.10
3,03/20/17 05:34:37 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$23.05
