Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
13,05/01/17 07:58:59 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.45
14,05/01/17 08:26:32 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.40
0,05/01/17 04:54:55 PM,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,($3.05),$10.35
15,05/01/17 04:34:07 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.40
1,05/02/17 07:36:47 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$10.35
2,05/02/17 08:04:01 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.30
3,05/02/17 06:02:35 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$7.30
4,05/02/17 06:16:16 PM,Exit,Metrorail,L'Enfant Plza N,Crystal City,StoredValue FF,,($2.15),$5.15
5,05/03/17 08:15:21 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.15
6,05/03/17 08:41:12 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$2.10
8,05/03/17 04:42:48 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$32.10
9,05/03/17 05:06:43 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$29.05
10,05/04/17 05:14:52 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$29.05
11,05/04/17 05:37:32 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$26.00
12,05/08/17 08:02:09 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$26.00
13,05/08/17 08:30:16 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$22.95
14,05/08/17 05:30:51 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$22.95
15,05/08/17 05:53:10 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$19.90
0,05/10/17 08:03:05 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$19.90
1,05/10/17 08:28:07 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$16.85
