Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
3,11/20/17 8:39,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$17.80 
4,11/20/17 9:04,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.15),$14.65 
5,11/20/17 17:39,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$14.65 
6,11/20/17 18:06,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.15),$11.50 
7,11/27/17 8:46,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00 ,$11.50 
8,11/27/17 9:15,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.15),$8.35 
9,11/27/17 16:52,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00 ,$8.35 
10,11/27/17 17:17,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.15),$5.20 
,,,,,,,,,
,,,,,,,Total Spent,($12.60),
