SeqNum,Time,Description,Operator,EntryLocation,ExitLocation,Product,RemRides,Change,Balance
8,1/4/16 8:38,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,10.00 ,14.35 
9,1/4/16 8:39,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,25.00 ,29.35 
10,1/4/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,29.35 
11,1/4/16 9:01,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),26.30 
12,1/4/16 16:44,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,26.30 
13,1/4/16 16:56,Exit,Metrorail,L'Enfant Plza N,Farragut N NW,StoredValue FF,,(2.15),24.15 
14,1/4/16 17:25,Entry,Metrorail,Farragut N NW,,StoredValue FF,,0.00 ,24.15 
15,1/4/16 17:37,Exit,Metrorail,Farragut N NW,Tenleytown-AU,StoredValue FF,,(2.45),21.70 
0,1/5/16 8:50,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,21.70 
1,1/5/16 9:12,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),18.65 
2,1/5/16 17:49,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,18.65 
3,1/5/16 18:14,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),15.60 
4,1/6/16 8:52,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,15.60 
5,1/6/16 9:27,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),12.55 
6,1/6/16 17:23,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,12.55 
7,1/6/16 17:44,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),9.50 
8,1/7/16 8:48,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,9.50 
9,1/7/16 9:18,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),6.45 
10,1/7/16 18:01,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,6.45 
11,1/7/16 18:25,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),3.40 
12,1/8/16 8:28,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.40 
13,1/8/16 8:51,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),0.35 
14,1/8/16 14:26,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,25.35 
0,1/8/16 14:50,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,(2.35),23.00 
15,1/8/16 14:26,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,25.35 
0,1/11/16 8:32,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,23.00 
1,1/11/16 8:32,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,23.00 
2,1/11/16 8:56,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),19.95 
3,1/11/16 17:40,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,19.95 
4,1/11/16 17:55,Exit,Metrorail,L'Enfant Plza N,Farragut N NW,StoredValue FF,,(2.15),17.80 
5,1/11/16 18:38,Entry,Metrorail,Farragut N NW,,StoredValue FF,,0.00 ,17.80 
6,1/11/16 18:49,Exit,Metrorail,Farragut N NW,Tenleytown-AU,StoredValue FF,,(2.45),15.35 
7,1/12/16 8:41,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,15.35 
8,1/12/16 9:04,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),12.30 
9,1/12/16 17:27,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,12.30 
10,1/12/16 17:50,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),9.25 
11,1/13/16 8:22,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,9.25 
12,1/13/16 8:47,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),6.20 
13,1/13/16 17:53,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,6.20 
14,1/13/16 18:17,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,(3.05),3.15 
0,1/14/16 9:12,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,(3.05),0.10 
1,1/14/16 9:13,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,25.00 ,25.10 
15,1/14/16 8:40,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,3.15 
2,1/14/16 17:46,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,25.10 
3,1/14/16 17:57,Exit,Metrorail,L'Enfant Plza N,McPherson Sq W,StoredValue FF,,(2.15),22.95 
4,1/14/16 20:41,Entry,Metrorail,Farragut N SE,,StoredValue FF,,0.00 ,22.95 
5,1/14/16 21:02,Exit,Metrorail,Farragut N SE,Tenleytown-AU,StoredValue FF,,(2.00),20.95 
6,1/15/16 8:27,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,20.95 
7,1/15/16 8:47,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),17.90 
8,1/15/16 16:06,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,17.90 
9,1/15/16 16:12,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,(2.15),15.75 
10,1/15/16 17:54,Entry,Metrorail,Gal Pl-Chntwn N,,StoredValue FF,,0.00 ,15.75 
11,1/15/16 18:14,Exit,Metrorail,Gal Pl-Chntwn N,Tenleytown-AU,StoredValue FF,,(2.80),12.95 
11,1/19/16 8:03,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.95 
12,1/19/16 8:03,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,0.00 ,12.95 
13,1/19/16 8:38,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,(3.05),9.90 
14,1/19/16 15:41,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,0.00 ,9.90 
